date,inflow,storage,elevation,precip,tmax,tmin
2010-01-01,957.18,57600.0,125.25,5.56,6.19,-6.67
2010-01-02,1044.5,57701.0,125.28,0.0,8.97,0.1
2010-01-03,984.27,57765.8,125.3,0.0,14.0,0.7
2010-01-04,971.95,57823.2,125.31,0.0,7.33,-4.83
2010-01-05,1086.28,57949.2,125.34,0.0,4.93,-5.6
2010-01-06,1019.89,58035.4,125.37,0.0,5.69,-5.71
2010-01-07,1006.53,58113.6,125.39,0.0,5.33,-8.28
2010-01-08,1009.27,58193.4,125.41,0.0,0.1,-9.14
2010-01-09,952.09,58238.9,125.42,0.0,2.9,-6.62
2010-01-10,1154.49,58405.9,125.46,0.64,4.1,-8.75
2010-01-11,1105.41,58543.4,125.5,0.0,4.09,-5.98
2010-01-12,1033.97,58638.0,125.52,0.0,3.99,-4.83
2010-01-13,932.96,58672.0,125.53,0.0,7.51,-5.38
2010-01-14,969.79,58728.2,125.55,0.0,11.59,1.0
2010-01-15,973.13,58786.3,125.56,0.0,6.55,-4.89
2010-01-16,1367.91,59081.3,125.64,10.84,1.3,-9.44
2010-01-17,1333.76,59355.8,125.71,0.0,2.35,-9.57
2010-01-18,1229.42,59567.7,125.76,0.0,4.25,-6.23
2010-01-19,1144.82,59728.9,125.81,0.0,4.65,-3.21
2010-01-20,1087.96,59855.9,125.84,0.0,3.14,-9.3
2010-01-21,961.12,59906.8,125.85,0.0,4.35,-5.94
2010-01-22,981.19,59969.8,125.87,0.0,6.44,-4.81
2010-01-23,1498.39,60343.1,125.97,18.9,5.91,-4.54
2010-01-24,1374.78,60642.2,126.04,0.0,8.07,-1.0
2010-01-25,1428.93,60973.8,126.13,7.55,9.34,-2.4
2010-01-26,1281.12,61216.8,126.19,0.0,9.27,-2.93
2010-01-27,1147.29,61379.4,126.24,0.0,6.79,-2.36
2010-01-28,1123.64,61527.8,126.27,0.0,10.96,-3.2
2010-01-29,1161.45,61698.9,126.32,0.0,4.29,-6.94
2010-01-30,1007.71,61777.8,126.34,0.0,-0.2,-8.06
2010-01-31,999.79,61852.0,126.36,0.0,5.14,-4.63
2010-02-01,1019.04,61937.6,126.38,0.0,7.57,-5.29
2010-02-02,1064.35,62050.5,126.41,0.0,0.43,-7.34
2010-02-03,1062.58,62162.3,126.44,0.0,-1.57,-12.99
2010-02-04,1389.37,62470.2,126.52,9.06,-0.57,-13.6
2010-02-05,1167.8,62645.1,126.56,0.0,2.1,-10.31
2010-02-06,940.54,62683.7,126.57,0.0,3.01,-10.07
2010-02-07,962.88,62735.7,126.59,0.0,4.09,-6.99
2010-02-08,1047.31,62838.3,126.61,1.68,7.45,-4.88
2010-02-09,1067.71,62953.2,126.64,0.0,9.68,-0.64
2010-02-10,944.18,62994.0,126.65,0.0,11.03,-0.73
2010-02-11,869.17,62989.7,126.65,0.0,10.74,0.36
2010-02-12,853.01,62975.8,126.65,0.0,10.51,0.03
2010-02-13,912.64,62997.6,126.66,0.0,8.35,-2.98
2010-02-14,886.63,63003.9,126.66,3.13,4.48,-3.89
2010-02-15,804.53,62960.8,126.65,0.0,6.25,-3.12
2010-02-16,1257.33,63189.5,126.71,25.62,5.8,-7.13
2010-02-17,1113.43,63331.8,126.74,0.0,0.82,-11.4
2010-02-18,1004.84,63409.0,126.76,0.0,4.52,-7.95
2010-02-19,803.54,63365.3,126.75,0.32,4.43,-6.76
2010-02-20,964.51,63418.3,126.76,5.08,0.8,-10.66
2010-02-21,933.38,63452.6,126.77,0.0,3.18,-8.85
2010-02-22,1023.47,63540.9,126.8,0.0,5.56,-4.93
2010-02-23,947.09,63583.4,126.81,0.0,10.05,0.28
2010-02-24,865.19,63576.8,126.81,0.0,10.13,0.8
2010-02-25,785.14,63522.1,126.79,0.0,10.52,-0.43
2010-02-26,706.82,63420.5,126.77,0.0,9.84,0.17
2010-02-27,708.24,63319.7,126.74,0.61,6.89,-1.64
2010-02-28,710.38,63220.2,126.71,1.31,11.07,1.69
2010-03-01,651.59,63085.4,126.68,0.0,9.66,-2.12
2010-03-02,641.3,62944.4,126.64,0.45,9.67,0.47
2010-03-03,680.73,62827.1,126.61,0.0,20.04,9.14
2010-03-04,660.96,62697.9,126.58,0.0,13.67,0.36
2010-03-05,1400.27,63012.4,126.66,34.29,11.69,0.61
2010-03-06,1301.69,63267.6,126.73,6.3,14.54,2.02
2010-03-07,1184.9,63452.8,126.77,0.0,11.5,-0.65
2010-03-08,981.14,63515.8,126.79,0.0,6.32,-5.78
2010-03-09,1104.72,63652.8,126.83,0.0,7.43,-2.57
2010-03-10,1096.28,63784.9,126.86,4.03,9.13,1.74
2010-03-11,1000.37,63859.3,126.88,0.0,11.38,4.7
2010-03-12,1017.18,63943.9,126.9,0.0,13.79,2.7
2010-03-13,995.02,64015.2,126.92,0.0,15.39,1.12
2010-03-14,899.85,64029.3,126.92,0.0,18.01,7.29
2010-03-15,924.88,64058.5,126.93,0.0,17.02,5.28
2010-03-16,942.89,64098.5,126.94,0.0,16.08,3.93
2010-03-17,959.19,64148.3,126.95,0.0,14.8,3.8
2010-03-18,1076.9,64268.7,126.99,1.74,8.59,-3.75
2010-03-19,1196.8,64461.0,127.04,0.0,11.45,-2.1
2010-03-20,1451.16,64806.0,127.12,3.24,14.27,0.17
2010-03-21,1444.19,65146.7,127.21,0.0,12.88,1.2
2010-03-22,1505.33,65524.2,127.31,0.0,10.59,2.45
2010-03-23,1541.6,65923.4,127.42,0.0,11.56,2.43
2010-03-24,1535.22,66318.8,127.52,0.0,8.96,-2.3
2010-03-25,1539.84,66716.9,127.62,0.0,11.64,-0.63
2010-03-26,1419.73,67043.0,127.71,0.53,8.22,-3.32
2010-03-27,1152.43,67208.7,127.75,0.0,13.12,1.1
2010-03-28,1313.08,67470.9,127.82,0.0,15.07,3.16
2010-03-29,1691.11,67959.8,127.94,6.88,20.24,10.13
2010-03-30,1315.35,68223.2,128.01,0.0,22.17,11.46
2010-03-31,1298.45,68476.6,128.08,3.15,25.67,14.89
2010-04-01,1152.74,68642.5,128.12,0.0,19.45,7.88
2010-04-02,1039.59,68740.5,128.15,0.0,14.13,5.93
2010-04-03,1022.72,68828.4,128.17,0.0,16.71,4.07
2010-04-04,1200.1,69022.7,128.22,0.0,12.82,2.6
2010-04-05,1357.81,69311.6,128.3,0.0,12.67,1.86
2010-04-06,1464.61,69664.6,128.39,0.0,13.03,4.82
2010-04-07,1292.25,69914.2,128.45,0.0,18.21,7.03
2010-04-08,1204.88,70111.4,128.5,0.0,16.06,6.24
2010-04-09,1083.6,70235.8,128.54,0.0,18.25,8.11
2010-04-10,1048.86,70339.4,128.56,0.06,18.38,7.8
2010-04-11,1041.32,70438.5,128.59,0.0,20.19,7.95
2010-04-12,943.98,70479.1,128.6,0.0,19.83,7.98
2010-04-13,968.26,70534.3,128.61,0.0,16.97,3.49
2010-04-14,957.62,70583.1,128.63,0.0,20.35,9.35
2010-04-15,1074.63,70702.2,128.66,0.0,19.9,7.2
2010-04-16,970.85,70758.9,128.67,0.0,15.73,7.84
2010-04-17,983.98,70823.6,128.69,0.0,20.9,10.62
2010-04-18,937.84,70860.5,128.7,0.0,19.38,7.69
2010-04-19,1153.46,71026.9,128.74,7.86,14.21,1.49
